 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,0001-0141-0111,Oval,none,6,36,210,210,492,none,none,0,1,0,1,0
2,1,0001-0334-0378,Oval,none,304,260,148,148,348,none,none,0,1,0,1,0
